"题号","题干","A","B","C","D","E","答案","难度","题型","类别"
"1","Python中哪个关键字用于定义函数？","def","function","define","func","","A","简单","单选题","函数"
"2","Python中用于单行注释的符号是？","#","//","/*","<!--","","A","简单","单选题","Python基础"
"3","Python中哪个函数用于输出内容？","print()","echo()","printf()","output()","","A","简单","单选题","函数"
"4","Python中用于获取用户输入的函数是？","input()","get_input()","read()","scanf()","","A","简单","单选题","函数"
"5","Python中表示空值的特殊值是？","None","null","NULL","nil","","A","简单","单选题","Python基础"
"6","Python中用于多行注释的方式是？","使用三个单引号或双引号","使用//","使用/* */","使用#","","A","简单","单选题","Python基础"
"7","Python中用于缩进的符号是？","空格或制表符","只有空格","只有制表符","大括号","","A","简单","单选题","Python基础"
"8","Python中用于导入模块的关键字是？","import","include","require","use","","A","简单","单选题","模块与包"
"9","Python中用于定义变量的方式是？","直接赋值","使用var","使用let","使用const","","A","简单","单选题","Python基础"
"10","Python中用于删除变量的关键字是？","del","delete","remove","clear","","A","简单","单选题","语法基础"
"11","Python中哪个数据类型是不可变的？","字符串","列表","字典","集合","","A","简单","单选题","面向对象"
"12","Python中用于表示整数的类型是？","int","integer","number","num","","A","简单","单选题","面向对象"
"13","Python中用于表示浮点数的类型是？","float","double","decimal","real","","A","简单","单选题","面向对象"
"14","Python中用于表示布尔值的类型是？","bool","boolean","logical","true_false","","A","简单","单选题","面向对象"
"15","Python中哪个数据类型是有序的？","列表和元组","集合和字典","只有列表","只有元组","","A","简单","单选题","面向对象"
"16","Python中可变的数据类型有哪些？","列表","字典","集合","字符串","","ABC","简单","多选题","面向对象"
"17","Python中不可变的数据类型有哪些？","整数","字符串","元组","列表","","ABC","简单","多选题","面向对象"
"18","Python中type()函数的作用是？","返回对象的类型","创建类型","转换类型","删除类型","","A","简单","单选题","函数"
"19","Python中isinstance()函数的作用是？","检查对象是否是指定类型","创建实例","获取类型","转换类型","","A","简单","单选题","函数"
"20","Python中用于类型转换的函数有哪些？","int()","str()","float()","bool()","","ABCD","简单","多选题","函数"
"21","Python中字符串的哪个方法用于转换为小写？","lower()","toLowerCase()","casefold()","downcase()","","A","简单","单选题","字符串"
"22","Python中字符串的哪个方法用于转换为大写？","upper()","toUpperCase()","uppercase()","capitalize()","","A","简单","单选题","字符串"
"23","Python中字符串的哪个方法用于分割字符串？","split()","divide()","separate()","cut()","","A","简单","单选题","字符串"
"24","Python中用于连接字符串的运算符是？","+","&",".","concat()","","A","简单","单选题","字符串"
"25","Python中字符串格式化可以使用哪些方法？","format()和f-string","只有format()","只有f-string","printf()","","A","中等","单选题","字符串"
"26","Python中字符串的strip()方法用于？","去除首尾空白字符","去除所有空白字符","去除首字符","去除尾字符","","A","简单","单选题","字符串"
"27","Python中字符串的join()方法用于？","连接字符串序列","分割字符串","查找字符串","替换字符串","","A","简单","单选题","字符串"
"28","Python中字符串的replace()方法用于？","替换子字符串","删除子字符串","查找子字符串","分割字符串","","A","简单","单选题","字符串"
"29","Python中字符串的find()方法返回？","子字符串的索引","布尔值","字符串长度","子字符串","","A","简单","单选题","字符串"
"30","Python中字符串的常用方法有哪些？","split()","join()","strip()","replace()","","ABCD","简单","多选题","字符串"
"31","Python中列表的哪个方法用于添加元素？","append()","add()","insert()","push()","","A","简单","单选题","列表"
"32","Python中列表的哪个方法用于删除元素？","remove()和pop()","只有remove()","只有pop()","delete()","","A","简单","单选题","列表"
"33","Python中列表切片操作[start:end:step]中，step的作用是？","步长","起始位置","结束位置","方向","","A","中等","单选题","列表"
"34","Python中列表推导式的基本语法是？","[expression for item in iterable]","{expression for item in iterable}","(expression for item in iterable)","expression for item in iterable","","A","中等","单选题","列表"
"35","Python中哪个方法用于对列表进行排序？","sort()","sorted()","order()","arrange()","","A","简单","单选题","列表"
"36","Python中列表的常用方法有哪些？","append()","remove()","sort()","reverse()","","ABCD","简单","多选题","列表"
"37","Python中列表的extend()方法用于？","扩展列表","添加单个元素","删除元素","查找元素","","A","简单","单选题","列表"
"38","Python中列表的index()方法用于？","查找元素索引","获取元素值","删除元素","添加元素","","A","简单","单选题","列表"
"39","Python中列表的count()方法用于？","统计元素出现次数","计算列表长度","查找元素","删除元素","","A","简单","单选题","列表"
"40","Python中列表的copy()方法用于？","复制列表","删除列表","清空列表","排序列表","","A","简单","单选题","列表"
"41","Python中字典的键必须是什么类型？","不可变类型","可变类型","任意类型","只能是字符串","","A","中等","单选题","字典"
"42","Python中访问字典值的方式有哪些？","dict[key]和dict.get(key)","只有dict[key]","只有dict.get(key)","dict.value(key)","","A","简单","单选题","字典"
"43","Python中字典的哪个方法用于获取所有键？","keys()","get_keys()","all_keys()","key_list()","","A","简单","单选题","字典"
"44","Python中字典的哪个方法用于获取所有值？","values()","get_values()","all_values()","value_list()","","A","简单","单选题","字典"
"45","Python中字典的哪个方法用于获取键值对？","items()","pairs()","entries()","get_items()","","A","简单","单选题","字典"
"46","Python中字典的常用方法有哪些？","keys()","values()","items()","get()","","ABCD","简单","多选题","字典"
"47","Python中字典的pop()方法用于？","删除并返回指定键的值","添加键值对","查找键","更新值","","A","简单","单选题","字典"
"48","Python中字典的update()方法用于？","更新字典","创建字典","删除字典","复制字典","","A","简单","单选题","字典"
"49","Python中字典的clear()方法用于？","清空字典","删除字典","复制字典","更新字典","","A","简单","单选题","字典"
"50","Python中字典推导式的语法是？","{key: value for item in iterable}","[key: value for item in iterable]","(key: value for item in iterable)","key: value for item in iterable","","A","中等","单选题","字典"
"51","Python中用于条件判断的关键字是？","if","when","case","switch","","A","简单","单选题","控制流"
"52","Python中用于循环的关键字有哪些？","for和while","只有for","只有while","loop","","A","简单","单选题","控制流"
"53","Python中用于跳出循环的关键字是？","break","exit","stop","quit","","A","简单","单选题","控制流"
"54","Python中用于跳过当前循环迭代的关键字是？","continue","skip","next","pass","","A","简单","单选题","控制流"
"55","Python中range(5)生成的序列是？","0,1,2,3,4","1,2,3,4,5","0,1,2,3,4,5","1,2,3,4","","A","简单","单选题","序列操作"
"56","Python中用于循环控制的关键字有哪些？","break","continue","pass","return","","ABC","简单","多选题","控制流"
"57","Python中if-elif-else结构的作用是？","多条件判断","单条件判断","循环控制","异常处理","","A","简单","单选题","控制流"
"58","Python中for循环可以遍历哪些对象？","可迭代对象","只有列表","只有字符串","只有字典","","A","简单","单选题","面向对象"
"59","Python中while循环的特点是？","条件为真时执行","执行固定次数","至少执行一次","只能执行一次","","A","简单","单选题","控制流"
"60","Python中嵌套循环的作用是？","处理多维数据","提高执行速度","减少代码量","简化逻辑","","A","中等","单选题","控制流"
"61","Python中函数可以返回多个值吗？","可以，返回元组","不可以","只能返回一个值","只能返回列表","","A","中等","单选题","函数"
"62","Python中函数参数的传递方式有哪些？","位置参数和关键字参数","只有位置参数","只有关键字参数","引用传递","","A","中等","单选题","函数"
"63","Python中*args的作用是？","接收任意数量的位置参数","接收任意数量的关键字参数","解包参数","传递参数","","A","中等","单选题","Python基础"
"64","Python中**kwargs的作用是？","接收任意数量的关键字参数","接收任意数量的位置参数","解包关键字参数","传递关键字参数","","A","中等","单选题","Python基础"
"65","Python中lambda函数的特点是什么？","匿名函数，只能有一行表达式","可以有多个语句","必须有名称","不能有参数","","A","中等","单选题","函数"
"66","Python中函数参数的类型有哪些？","位置参数","关键字参数","默认参数","可变参数","","ABCD","中等","多选题","函数"
"67","Python中局部变量的作用域是？","函数内部","整个程序","类内部","模块内部","","A","简单","单选题","Python基础"
"68","Python中全局变量的关键字是？","global","globals","GLOBAL","Global","","A","中等","单选题","语法基础"
"69","Python中递归函数的特点是？","函数调用自身","函数调用其他函数","函数返回函数","函数作为参数","","A","中等","单选题","函数"
"70","Python中闭包的特点是什么？","内部函数可以访问外部变量","外部函数访问内部变量","函数嵌套","函数调用","","A","困难","单选题","函数"
"71","Python中定义类的关键字是？","class","Class","def class","type","","A","简单","单选题","面向对象"
"72","Python中类的构造方法名是？","__init__","__constructor__","__new__","constructor","","A","简单","单选题","面向对象"
"73","Python中用于表示实例自身的参数是？","self","this","me","instance","","A","简单","单选题","函数"
"74","Python中类的继承语法是？","class Child(Parent):","class Child extends Parent:","class Child : Parent","class Child inherits Parent:","","A","简单","单选题","面向对象"
"75","Python中用于访问父类方法的关键字是？","super()","parent()","base()","superclass()","","A","中等","单选题","面向对象"
"76","Python中面向对象的特性有哪些？","封装","继承","多态","抽象","","ABC","中等","多选题","面向对象"
"77","Python中类的特殊方法（魔术方法）有哪些？","__init__","__str__","__repr__","__len__","","ABCD","中等","多选题","面向对象"
"78","Python中@property装饰器的作用是？","将方法转换为属性","定义属性","删除属性","修改属性","","A","中等","单选题","装饰器"
"79","Python中__str__和__repr__的区别是？","__str__面向用户，__repr__面向开发者","没有区别","__str__面向开发者，__repr__面向用户","只有__str__","","A","中等","单选题","Python基础"
"80","Python中多继承的特点有哪些？","可以继承多个父类","使用MRO解析方法","可能出现菱形继承问题","只能继承一个父类","","ABC","困难","多选题","面向对象"
"81","Python中用于捕获异常的关键字是？","try和except","try和catch","try和error","catch","","A","简单","单选题","异常处理"
"82","Python中用于抛出异常的关键字是？","raise","throw","error","exception","","A","简单","单选题","异常处理"
"83","Python中finally块的作用是？","无论是否发生异常都会执行","只在发生异常时执行","只在没有异常时执行","用于定义异常","","A","中等","单选题","Python基础"
"84","Python中常见的异常类型有哪些？","ValueError、TypeError、IndexError等","只有ValueError","只有TypeError","只有Exception","","A","中等","单选题","面向对象"
"85","Python中用于自定义异常的方式是？","继承Exception类","使用raise关键字","使用error关键字","使用exception关键字","","A","中等","单选题","异常处理"
"86","Python中异常处理的完整结构包括？","try","except","else","finally","","ABCD","中等","多选题","异常处理"
"87","Python中ValueError异常通常在什么时候抛出？","值类型错误","索引错误","键错误","属性错误","","A","简单","单选题","异常处理"
"88","Python中IndexError异常通常在什么时候抛出？","索引超出范围","值类型错误","键不存在","属性不存在","","A","简单","单选题","异常处理"
"89","Python中KeyError异常通常在什么时候抛出？","字典键不存在","列表索引错误","值类型错误","属性错误","","A","简单","单选题","异常处理"
"90","Python中AttributeError异常通常在什么时候抛出？","属性不存在","索引错误","键错误","值错误","","A","简单","单选题","异常处理"
"91","Python中打开文件的函数是？","open()","file()","read_file()","load()","","A","简单","单选题","函数"
"92","Python中文件读取模式有哪些？","'r'、'w'、'a'等","只有'r'","只有'w'","只有'a'","","A","简单","单选题","文件IO"
"93","Python中用于读取文件所有内容的方法是？","read()","readall()","readfile()","load()","","A","简单","单选题","文件IO"
"94","Python中用于按行读取文件的方法是？","readline()和readlines()","只有readline()","只有readlines()","read()","","A","简单","单选题","文件IO"
"95","Python中使用with语句打开文件的好处是？","自动关闭文件","提高读取速度","减少内存占用","支持并发","","A","中等","单选题","文件IO"
"96","Python中文件打开的模式有哪些？","'r'读取","'w'写入","'a'追加","'x'创建","","ABCD","简单","多选题","文件IO"
"97","Python中文件写入的方法是？","write()","writeline()","put()","save()","","A","简单","单选题","文件IO"
"98","Python中文件关闭的方法是？","close()","end()","finish()","stop()","","A","简单","单选题","文件IO"
"99","Python中文件指针定位的方法是？","seek()","tell()","position()","move()","","A","中等","单选题","文件IO"
"100","Python中文件指针当前位置的方法是？","tell()","seek()","position()","current()","","A","中等","单选题","文件IO"
"101","Python中导入模块的关键字是？","import","include","require","use","","A","简单","单选题","模块与包"
"102","Python中from...import的作用是？","从模块中导入特定内容","导入整个模块","导入所有内容","导入包","","A","简单","单选题","模块与包"
"103","Python中__name__ == '__main__'的作用是？","判断是否作为主程序运行","判断模块名","判断包名","判断类名","","A","中等","单选题","Python基础"
"104","Python中包的定义方式是？","包含__init__.py的目录","任何目录","只有.py文件","只有.pyc文件","","A","中等","单选题","模块与包"
"105","Python标准库中用于处理日期的模块是？","datetime","date","time","calendar","","A","简单","单选题","模块与包"
"106","Python中模块搜索路径包括哪些？","当前目录","PYTHONPATH","标准库目录","site-packages","","ABCD","中等","多选题","模块与包"
"107","Python中用于处理JSON的模块是？","json","JSON","jsonlib","simplejson","","A","简单","单选题","模块与包"
"108","Python中用于处理JSON的模块方法有哪些？","json.dumps()","json.loads()","json.dump()","json.load()","","ABCD","中等","多选题","模块与包"
"109","Python中用于处理正则表达式的模块是？","re","regex","pattern","match","","A","中等","单选题","模块与包"
"110","Python中re模块的常用方法有哪些？","search()","match()","findall()","sub()","","ABCD","中等","多选题","模块与包"
"111","Python中生成器的关键字是？","yield","generator","gen","yield from","","A","中等","单选题","迭代与生成器"
"112","Python中装饰器的本质是？","函数","类","模块","变量","","A","困难","单选题","装饰器"
"113","Python中上下文管理器需要实现哪些方法？","__enter__和__exit__","只有__enter__","只有__exit__","__init__","","A","困难","单选题","上下文管理"
"114","Python中生成器表达式与列表推导式的区别是？","生成器表达式使用()","列表推导式使用[]","生成器更节省内存","生成器是惰性求值","","ABCD","中等","多选题","列表"
"115","Python中装饰器的常见用途有哪些？","函数增强","日志记录","性能测试","权限检查","","ABCD","困难","多选题","装饰器"
"116","Python中用于多线程的模块是？","threading","thread","multithread","parallel","","A","中等","单选题","模块与包"
"117","Python中用于多进程的模块是？","multiprocessing","process","multiprocess","parallel","","A","中等","单选题","模块与包"
"118","Python中GIL（全局解释器锁）的影响是？","限制多线程并行执行","不影响多进程","影响CPU密集型任务","不影响IO密集型任务","","ABCD","困难","多选题","Python基础"
"119","Python中用于异步编程的模块是？","asyncio","async","await","coroutine","","A","困难","单选题","模块与包"
"120","Python中异步函数的关键字有哪些？","async","await","yield","return","","AB","困难","多选题","函数"
"121","Python中用于数据科学的常用库有哪些？","numpy","pandas","matplotlib","scipy","","ABCD","中等","多选题","Python基础"
"122","Python中用于Web开发的框架有哪些？","Flask","Django","FastAPI","Tornado","","ABCD","中等","多选题","Python基础"
"123","Python中用于测试的框架有哪些？","unittest","pytest","nose","doctest","","ABCD","中等","多选题","Python基础"
"124","Python中虚拟环境的作用有哪些？","隔离项目依赖","管理Python版本","避免包冲突","提高性能","","ABC","中等","多选题","Python基础"
"125","Python中pip的作用是？","包管理工具","安装第三方库","卸载包","查看包信息","","ABCD","简单","多选题","Python基础"
"126","Python中用于代码格式化的工具是？","black","autopep8","yapf","pylint","","ABC","中等","多选题","Python基础"
"127","Python中用于代码检查的工具是？","pylint","flake8","pylama","pycodestyle","","ABCD","中等","多选题","Python基础"
"128","Python中numpy库的主要用途是？","数值计算","数组操作","科学计算","数据分析","","ABCD","中等","多选题","Python基础"
"129","Python中pandas库的主要用途是？","数据分析","数据处理","数据清洗","数据可视化","","ABCD","中等","多选题","Python基础"
"130","Python中matplotlib库的主要用途是？","数据可视化","绘图","图表生成","图像处理","","ABCD","中等","多选题","Python基础"
"131","Python中运算符有哪些？","+","-","*","/","","ABCD","简单","多选题","语法基础"
"132","Python中比较运算符有哪些？","==","!=",">","<","","ABCD","简单","多选题","语法基础"
"133","Python中逻辑运算符有哪些？","and","or","not","","","ABC","简单","多选题","语法基础"
"134","Python中身份运算符有哪些？","is","is not","","","","AB","简单","多选题","语法基础"
"135","Python中成员运算符有哪些？","in","not in","","","","AB","简单","多选题","语法基础"
"136","Python中位运算符有哪些？","&","|","^","~","","ABCD","简单","多选题","语法基础"
"137","Python中len()函数的作用是？","获取长度","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"138","Python中type()函数的作用是？","获取类型","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"139","Python中isinstance()函数的作用是？","类型检查","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"140","Python中str()函数的作用是？","转换为字符串","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"141","Python中int()函数的作用是？","转换为整数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"142","Python中float()函数的作用是？","转换为浮点数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"143","Python中bool()函数的作用是？","转换为布尔值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"144","Python中list()函数的作用是？","转换为列表","错误选项1","错误选项2","错误选项3","","A","简单","单选题","列表"
"145","Python中tuple()函数的作用是？","转换为元组","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"146","Python中dict()函数的作用是？","转换为字典","错误选项1","错误选项2","错误选项3","","A","简单","单选题","字典"
"147","Python中set()函数的作用是？","转换为集合","错误选项1","错误选项2","错误选项3","","A","简单","单选题","集合"
"148","Python中max()函数的作用是？","获取最大值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"149","Python中min()函数的作用是？","获取最小值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"150","Python中sum()函数的作用是？","求和","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"151","Python中abs()函数的作用是？","绝对值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"152","Python中round()函数的作用是？","四舍五入","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"153","Python中sorted()函数的作用是？","排序","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"154","Python中reversed()函数的作用是？","反转","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"155","Python中enumerate()函数的作用是？","枚举","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"156","Python中zip()函数的作用是？","打包","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"157","Python中列表推导式的作用是？","简洁创建列表","错误选项1","错误选项2","错误选项3","","A","中等","单选题","列表"
"158","Python中字典推导式的作用是？","简洁创建字典","错误选项1","错误选项2","错误选项3","","A","中等","单选题","字典"
"159","Python中集合推导式的作用是？","简洁创建集合","错误选项1","错误选项2","错误选项3","","A","中等","单选题","集合"
"160","Python中生成器表达式的作用是？","惰性求值","错误选项1","错误选项2","错误选项3","","A","中等","单选题","迭代与生成器"
"161","Python中切片操作的作用是？","获取序列子集","错误选项1","错误选项2","错误选项3","","A","中等","单选题","序列操作"
"162","Python中解包操作的作用是？","解包序列","错误选项1","错误选项2","错误选项3","","A","中等","单选题","模块与包"
"163","Python中链式比较的作用是？","连续比较","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"164","Python中三元表达式的作用是？","条件表达式","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"165","Python中运算符有哪些？","+","-","*","/","","ABCD","简单","多选题","语法基础"
"166","Python中比较运算符有哪些？","==","!=",">","<","","ABCD","简单","多选题","语法基础"
"167","Python中逻辑运算符有哪些？","and","or","not","","","ABC","简单","多选题","语法基础"
"168","Python中身份运算符有哪些？","is","is not","","","","AB","简单","多选题","语法基础"
"169","Python中成员运算符有哪些？","in","not in","","","","AB","简单","多选题","语法基础"
"170","Python中位运算符有哪些？","&","|","^","~","","ABCD","简单","多选题","语法基础"
"171","Python中len()函数的作用是？","获取长度","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"172","Python中type()函数的作用是？","获取类型","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"173","Python中isinstance()函数的作用是？","类型检查","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"174","Python中str()函数的作用是？","转换为字符串","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"175","Python中int()函数的作用是？","转换为整数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"176","Python中float()函数的作用是？","转换为浮点数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"177","Python中bool()函数的作用是？","转换为布尔值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"178","Python中list()函数的作用是？","转换为列表","错误选项1","错误选项2","错误选项3","","A","简单","单选题","列表"
"179","Python中tuple()函数的作用是？","转换为元组","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"180","Python中dict()函数的作用是？","转换为字典","错误选项1","错误选项2","错误选项3","","A","简单","单选题","字典"
"181","Python中set()函数的作用是？","转换为集合","错误选项1","错误选项2","错误选项3","","A","简单","单选题","集合"
"182","Python中max()函数的作用是？","获取最大值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"183","Python中min()函数的作用是？","获取最小值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"184","Python中sum()函数的作用是？","求和","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"185","Python中abs()函数的作用是？","绝对值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"186","Python中round()函数的作用是？","四舍五入","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"187","Python中sorted()函数的作用是？","排序","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"188","Python中reversed()函数的作用是？","反转","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"189","Python中enumerate()函数的作用是？","枚举","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"190","Python中zip()函数的作用是？","打包","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"191","Python中列表推导式的作用是？","简洁创建列表","错误选项1","错误选项2","错误选项3","","A","中等","单选题","列表"
"192","Python中字典推导式的作用是？","简洁创建字典","错误选项1","错误选项2","错误选项3","","A","中等","单选题","字典"
"193","Python中集合推导式的作用是？","简洁创建集合","错误选项1","错误选项2","错误选项3","","A","中等","单选题","集合"
"194","Python中生成器表达式的作用是？","惰性求值","错误选项1","错误选项2","错误选项3","","A","中等","单选题","迭代与生成器"
"195","Python中切片操作的作用是？","获取序列子集","错误选项1","错误选项2","错误选项3","","A","中等","单选题","序列操作"
"196","Python中解包操作的作用是？","解包序列","错误选项1","错误选项2","错误选项3","","A","中等","单选题","模块与包"
"197","Python中链式比较的作用是？","连续比较","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"198","Python中三元表达式的作用是？","条件表达式","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"199","Python中运算符有哪些？","+","-","*","/","","ABCD","简单","多选题","语法基础"
"200","Python中比较运算符有哪些？","==","!=",">","<","","ABCD","简单","多选题","语法基础"
"201","Python中逻辑运算符有哪些？","and","or","not","","","ABC","简单","多选题","语法基础"
"202","Python中身份运算符有哪些？","is","is not","","","","AB","简单","多选题","语法基础"
"203","Python中成员运算符有哪些？","in","not in","","","","AB","简单","多选题","语法基础"
"204","Python中位运算符有哪些？","&","|","^","~","","ABCD","简单","多选题","语法基础"
"205","Python中len()函数的作用是？","获取长度","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"206","Python中type()函数的作用是？","获取类型","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"207","Python中isinstance()函数的作用是？","类型检查","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"208","Python中str()函数的作用是？","转换为字符串","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"209","Python中int()函数的作用是？","转换为整数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"210","Python中float()函数的作用是？","转换为浮点数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"211","Python中bool()函数的作用是？","转换为布尔值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"212","Python中list()函数的作用是？","转换为列表","错误选项1","错误选项2","错误选项3","","A","简单","单选题","列表"
"213","Python中tuple()函数的作用是？","转换为元组","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"214","Python中dict()函数的作用是？","转换为字典","错误选项1","错误选项2","错误选项3","","A","简单","单选题","字典"
"215","Python中set()函数的作用是？","转换为集合","错误选项1","错误选项2","错误选项3","","A","简单","单选题","集合"
"216","Python中max()函数的作用是？","获取最大值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"217","Python中min()函数的作用是？","获取最小值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"218","Python中sum()函数的作用是？","求和","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"219","Python中abs()函数的作用是？","绝对值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"220","Python中round()函数的作用是？","四舍五入","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"221","Python中sorted()函数的作用是？","排序","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"222","Python中reversed()函数的作用是？","反转","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"223","Python中enumerate()函数的作用是？","枚举","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"224","Python中zip()函数的作用是？","打包","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
