"题号","题干","A","B","C","D","E","答案","难度","题型","类别"
"225","Python中列表推导式的作用是？","简洁创建列表","错误选项1","错误选项2","错误选项3","","A","中等","单选题","列表"
"226","Python中字典推导式的作用是？","简洁创建字典","错误选项1","错误选项2","错误选项3","","A","中等","单选题","字典"
"227","Python中集合推导式的作用是？","简洁创建集合","错误选项1","错误选项2","错误选项3","","A","中等","单选题","集合"
"228","Python中生成器表达式的作用是？","惰性求值","错误选项1","错误选项2","错误选项3","","A","中等","单选题","迭代与生成器"
"229","Python中切片操作的作用是？","获取序列子集","错误选项1","错误选项2","错误选项3","","A","中等","单选题","序列操作"
"230","Python中解包操作的作用是？","解包序列","错误选项1","错误选项2","错误选项3","","A","中等","单选题","模块与包"
"231","Python中链式比较的作用是？","连续比较","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"232","Python中三元表达式的作用是？","条件表达式","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"233","Python中运算符有哪些？","+","-","*","/","","ABCD","简单","多选题","语法基础"
"234","Python中比较运算符有哪些？","==","!=",">","<","","ABCD","简单","多选题","语法基础"
"235","Python中逻辑运算符有哪些？","and","or","not","","","ABC","简单","多选题","语法基础"
"236","Python中身份运算符有哪些？","is","is not","","","","AB","简单","多选题","语法基础"
"237","Python中成员运算符有哪些？","in","not in","","","","AB","简单","多选题","语法基础"
"238","Python中位运算符有哪些？","&","|","^","~","","ABCD","简单","多选题","语法基础"
"239","Python中len()函数的作用是？","获取长度","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"240","Python中type()函数的作用是？","获取类型","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"241","Python中isinstance()函数的作用是？","类型检查","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"242","Python中str()函数的作用是？","转换为字符串","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"243","Python中int()函数的作用是？","转换为整数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"244","Python中float()函数的作用是？","转换为浮点数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"245","Python中bool()函数的作用是？","转换为布尔值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"246","Python中list()函数的作用是？","转换为列表","错误选项1","错误选项2","错误选项3","","A","简单","单选题","列表"
"247","Python中tuple()函数的作用是？","转换为元组","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"248","Python中dict()函数的作用是？","转换为字典","错误选项1","错误选项2","错误选项3","","A","简单","单选题","字典"
"249","Python中set()函数的作用是？","转换为集合","错误选项1","错误选项2","错误选项3","","A","简单","单选题","集合"
"250","Python中max()函数的作用是？","获取最大值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"251","Python中min()函数的作用是？","获取最小值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"252","Python中sum()函数的作用是？","求和","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"253","Python中abs()函数的作用是？","绝对值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"254","Python中round()函数的作用是？","四舍五入","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"255","Python中sorted()函数的作用是？","排序","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"256","Python中reversed()函数的作用是？","反转","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"257","Python中enumerate()函数的作用是？","枚举","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"258","Python中zip()函数的作用是？","打包","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"259","Python中列表推导式的作用是？","简洁创建列表","错误选项1","错误选项2","错误选项3","","A","中等","单选题","列表"
"260","Python中字典推导式的作用是？","简洁创建字典","错误选项1","错误选项2","错误选项3","","A","中等","单选题","字典"
"261","Python中集合推导式的作用是？","简洁创建集合","错误选项1","错误选项2","错误选项3","","A","中等","单选题","集合"
"262","Python中生成器表达式的作用是？","惰性求值","错误选项1","错误选项2","错误选项3","","A","中等","单选题","迭代与生成器"
"263","Python中切片操作的作用是？","获取序列子集","错误选项1","错误选项2","错误选项3","","A","中等","单选题","序列操作"
"264","Python中解包操作的作用是？","解包序列","错误选项1","错误选项2","错误选项3","","A","中等","单选题","模块与包"
"265","Python中链式比较的作用是？","连续比较","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"266","Python中三元表达式的作用是？","条件表达式","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"267","Python中运算符有哪些？","+","-","*","/","","ABCD","简单","多选题","语法基础"
"268","Python中比较运算符有哪些？","==","!=",">","<","","ABCD","简单","多选题","语法基础"
"269","Python中逻辑运算符有哪些？","and","or","not","","","ABC","简单","多选题","语法基础"
"270","Python中身份运算符有哪些？","is","is not","","","","AB","简单","多选题","语法基础"
"271","Python中成员运算符有哪些？","in","not in","","","","AB","简单","多选题","语法基础"
"272","Python中位运算符有哪些？","&","|","^","~","","ABCD","简单","多选题","语法基础"
"273","Python中len()函数的作用是？","获取长度","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"274","Python中type()函数的作用是？","获取类型","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"275","Python中isinstance()函数的作用是？","类型检查","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"276","Python中str()函数的作用是？","转换为字符串","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"277","Python中int()函数的作用是？","转换为整数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"278","Python中float()函数的作用是？","转换为浮点数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"279","Python中bool()函数的作用是？","转换为布尔值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"280","Python中list()函数的作用是？","转换为列表","错误选项1","错误选项2","错误选项3","","A","简单","单选题","列表"
"281","Python中tuple()函数的作用是？","转换为元组","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"282","Python中dict()函数的作用是？","转换为字典","错误选项1","错误选项2","错误选项3","","A","简单","单选题","字典"
"283","Python中set()函数的作用是？","转换为集合","错误选项1","错误选项2","错误选项3","","A","简单","单选题","集合"
"284","Python中max()函数的作用是？","获取最大值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"285","Python中min()函数的作用是？","获取最小值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"286","Python中sum()函数的作用是？","求和","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"287","Python中abs()函数的作用是？","绝对值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"288","Python中round()函数的作用是？","四舍五入","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"289","Python中sorted()函数的作用是？","排序","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"290","Python中reversed()函数的作用是？","反转","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"291","Python中enumerate()函数的作用是？","枚举","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"292","Python中zip()函数的作用是？","打包","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"293","Python中列表推导式的作用是？","简洁创建列表","错误选项1","错误选项2","错误选项3","","A","中等","单选题","列表"
"294","Python中字典推导式的作用是？","简洁创建字典","错误选项1","错误选项2","错误选项3","","A","中等","单选题","字典"
"295","Python中集合推导式的作用是？","简洁创建集合","错误选项1","错误选项2","错误选项3","","A","中等","单选题","集合"
"296","Python中生成器表达式的作用是？","惰性求值","错误选项1","错误选项2","错误选项3","","A","中等","单选题","迭代与生成器"
"297","Python中切片操作的作用是？","获取序列子集","错误选项1","错误选项2","错误选项3","","A","中等","单选题","序列操作"
"298","Python中解包操作的作用是？","解包序列","错误选项1","错误选项2","错误选项3","","A","中等","单选题","模块与包"
"299","Python中链式比较的作用是？","连续比较","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"300","Python中三元表达式的作用是？","条件表达式","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"301","Python中运算符有哪些？","+","-","*","/","","ABCD","简单","多选题","语法基础"
"302","Python中比较运算符有哪些？","==","!=",">","<","","ABCD","简单","多选题","语法基础"
"303","Python中逻辑运算符有哪些？","and","or","not","","","ABC","简单","多选题","语法基础"
"304","Python中身份运算符有哪些？","is","is not","","","","AB","简单","多选题","语法基础"
"305","Python中成员运算符有哪些？","in","not in","","","","AB","简单","多选题","语法基础"
"306","Python中位运算符有哪些？","&","|","^","~","","ABCD","简单","多选题","语法基础"
"307","Python中len()函数的作用是？","获取长度","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"308","Python中type()函数的作用是？","获取类型","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"309","Python中isinstance()函数的作用是？","类型检查","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"310","Python中str()函数的作用是？","转换为字符串","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"311","Python中int()函数的作用是？","转换为整数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"312","Python中float()函数的作用是？","转换为浮点数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"313","Python中bool()函数的作用是？","转换为布尔值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"314","Python中list()函数的作用是？","转换为列表","错误选项1","错误选项2","错误选项3","","A","简单","单选题","列表"
"315","Python中tuple()函数的作用是？","转换为元组","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"316","Python中dict()函数的作用是？","转换为字典","错误选项1","错误选项2","错误选项3","","A","简单","单选题","字典"
"317","Python中set()函数的作用是？","转换为集合","错误选项1","错误选项2","错误选项3","","A","简单","单选题","集合"
"318","Python中max()函数的作用是？","获取最大值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"319","Python中min()函数的作用是？","获取最小值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"320","Python中sum()函数的作用是？","求和","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"321","Python中abs()函数的作用是？","绝对值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"322","Python中round()函数的作用是？","四舍五入","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"323","Python中sorted()函数的作用是？","排序","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"324","Python中reversed()函数的作用是？","反转","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"325","Python中enumerate()函数的作用是？","枚举","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"326","Python中zip()函数的作用是？","打包","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"327","Python中列表推导式的作用是？","简洁创建列表","错误选项1","错误选项2","错误选项3","","A","中等","单选题","列表"
"328","Python中字典推导式的作用是？","简洁创建字典","错误选项1","错误选项2","错误选项3","","A","中等","单选题","字典"
"329","Python中集合推导式的作用是？","简洁创建集合","错误选项1","错误选项2","错误选项3","","A","中等","单选题","集合"
"330","Python中生成器表达式的作用是？","惰性求值","错误选项1","错误选项2","错误选项3","","A","中等","单选题","迭代与生成器"
"331","Python中切片操作的作用是？","获取序列子集","错误选项1","错误选项2","错误选项3","","A","中等","单选题","序列操作"
"332","Python中解包操作的作用是？","解包序列","错误选项1","错误选项2","错误选项3","","A","中等","单选题","模块与包"
"333","Python中链式比较的作用是？","连续比较","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"334","Python中三元表达式的作用是？","条件表达式","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"335","Python中运算符有哪些？","+","-","*","/","","ABCD","简单","多选题","语法基础"
"336","Python中比较运算符有哪些？","==","!=",">","<","","ABCD","简单","多选题","语法基础"
"337","Python中逻辑运算符有哪些？","and","or","not","","","ABC","简单","多选题","语法基础"
"338","Python中身份运算符有哪些？","is","is not","","","","AB","简单","多选题","语法基础"
"339","Python中成员运算符有哪些？","in","not in","","","","AB","简单","多选题","语法基础"
"340","Python中位运算符有哪些？","&","|","^","~","","ABCD","简单","多选题","语法基础"
"341","Python中len()函数的作用是？","获取长度","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"342","Python中type()函数的作用是？","获取类型","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"343","Python中isinstance()函数的作用是？","类型检查","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"344","Python中str()函数的作用是？","转换为字符串","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"345","Python中int()函数的作用是？","转换为整数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"346","Python中float()函数的作用是？","转换为浮点数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"347","Python中bool()函数的作用是？","转换为布尔值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"348","Python中list()函数的作用是？","转换为列表","错误选项1","错误选项2","错误选项3","","A","简单","单选题","列表"
"349","Python中tuple()函数的作用是？","转换为元组","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"350","Python中dict()函数的作用是？","转换为字典","错误选项1","错误选项2","错误选项3","","A","简单","单选题","字典"
"351","Python中set()函数的作用是？","转换为集合","错误选项1","错误选项2","错误选项3","","A","简单","单选题","集合"
"352","Python中max()函数的作用是？","获取最大值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"353","Python中min()函数的作用是？","获取最小值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"354","Python中sum()函数的作用是？","求和","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"355","Python中abs()函数的作用是？","绝对值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"356","Python中round()函数的作用是？","四舍五入","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"357","Python中sorted()函数的作用是？","排序","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"358","Python中reversed()函数的作用是？","反转","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"359","Python中enumerate()函数的作用是？","枚举","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"360","Python中zip()函数的作用是？","打包","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"361","Python中列表推导式的作用是？","简洁创建列表","错误选项1","错误选项2","错误选项3","","A","中等","单选题","列表"
"362","Python中字典推导式的作用是？","简洁创建字典","错误选项1","错误选项2","错误选项3","","A","中等","单选题","字典"
"363","Python中集合推导式的作用是？","简洁创建集合","错误选项1","错误选项2","错误选项3","","A","中等","单选题","集合"
"364","Python中生成器表达式的作用是？","惰性求值","错误选项1","错误选项2","错误选项3","","A","中等","单选题","迭代与生成器"
"365","Python中切片操作的作用是？","获取序列子集","错误选项1","错误选项2","错误选项3","","A","中等","单选题","序列操作"
"366","Python中解包操作的作用是？","解包序列","错误选项1","错误选项2","错误选项3","","A","中等","单选题","模块与包"
"367","Python中链式比较的作用是？","连续比较","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"368","Python中三元表达式的作用是？","条件表达式","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"369","Python中运算符有哪些？","+","-","*","/","","ABCD","简单","多选题","语法基础"
"370","Python中比较运算符有哪些？","==","!=",">","<","","ABCD","简单","多选题","语法基础"
"371","Python中逻辑运算符有哪些？","and","or","not","","","ABC","简单","多选题","语法基础"
"372","Python中身份运算符有哪些？","is","is not","","","","AB","简单","多选题","语法基础"
"373","Python中成员运算符有哪些？","in","not in","","","","AB","简单","多选题","语法基础"
"374","Python中位运算符有哪些？","&","|","^","~","","ABCD","简单","多选题","语法基础"
"375","Python中len()函数的作用是？","获取长度","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"376","Python中type()函数的作用是？","获取类型","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"377","Python中isinstance()函数的作用是？","类型检查","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"378","Python中str()函数的作用是？","转换为字符串","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"379","Python中int()函数的作用是？","转换为整数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"380","Python中float()函数的作用是？","转换为浮点数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"381","Python中bool()函数的作用是？","转换为布尔值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"382","Python中list()函数的作用是？","转换为列表","错误选项1","错误选项2","错误选项3","","A","简单","单选题","列表"
"383","Python中tuple()函数的作用是？","转换为元组","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"384","Python中dict()函数的作用是？","转换为字典","错误选项1","错误选项2","错误选项3","","A","简单","单选题","字典"
"385","Python中set()函数的作用是？","转换为集合","错误选项1","错误选项2","错误选项3","","A","简单","单选题","集合"
"386","Python中max()函数的作用是？","获取最大值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"387","Python中min()函数的作用是？","获取最小值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"388","Python中sum()函数的作用是？","求和","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"389","Python中abs()函数的作用是？","绝对值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"390","Python中round()函数的作用是？","四舍五入","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"391","Python中sorted()函数的作用是？","排序","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"392","Python中reversed()函数的作用是？","反转","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"393","Python中enumerate()函数的作用是？","枚举","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"394","Python中zip()函数的作用是？","打包","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"395","Python中列表推导式的作用是？","简洁创建列表","错误选项1","错误选项2","错误选项3","","A","中等","单选题","列表"
"396","Python中字典推导式的作用是？","简洁创建字典","错误选项1","错误选项2","错误选项3","","A","中等","单选题","字典"
"397","Python中集合推导式的作用是？","简洁创建集合","错误选项1","错误选项2","错误选项3","","A","中等","单选题","集合"
"398","Python中生成器表达式的作用是？","惰性求值","错误选项1","错误选项2","错误选项3","","A","中等","单选题","迭代与生成器"
"399","Python中切片操作的作用是？","获取序列子集","错误选项1","错误选项2","错误选项3","","A","中等","单选题","序列操作"
"400","Python中解包操作的作用是？","解包序列","错误选项1","错误选项2","错误选项3","","A","中等","单选题","模块与包"
"401","Python中链式比较的作用是？","连续比较","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"402","Python中三元表达式的作用是？","条件表达式","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"403","Python中运算符有哪些？","+","-","*","/","","ABCD","简单","多选题","语法基础"
"404","Python中比较运算符有哪些？","==","!=",">","<","","ABCD","简单","多选题","语法基础"
"405","Python中逻辑运算符有哪些？","and","or","not","","","ABC","简单","多选题","语法基础"
"406","Python中身份运算符有哪些？","is","is not","","","","AB","简单","多选题","语法基础"
"407","Python中成员运算符有哪些？","in","not in","","","","AB","简单","多选题","语法基础"
"408","Python中位运算符有哪些？","&","|","^","~","","ABCD","简单","多选题","语法基础"
"409","Python中len()函数的作用是？","获取长度","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"410","Python中type()函数的作用是？","获取类型","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"411","Python中isinstance()函数的作用是？","类型检查","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"412","Python中str()函数的作用是？","转换为字符串","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"413","Python中int()函数的作用是？","转换为整数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"414","Python中float()函数的作用是？","转换为浮点数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"415","Python中bool()函数的作用是？","转换为布尔值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"416","Python中list()函数的作用是？","转换为列表","错误选项1","错误选项2","错误选项3","","A","简单","单选题","列表"
"417","Python中tuple()函数的作用是？","转换为元组","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"418","Python中dict()函数的作用是？","转换为字典","错误选项1","错误选项2","错误选项3","","A","简单","单选题","字典"
"419","Python中set()函数的作用是？","转换为集合","错误选项1","错误选项2","错误选项3","","A","简单","单选题","集合"
"420","Python中max()函数的作用是？","获取最大值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"421","Python中min()函数的作用是？","获取最小值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"422","Python中sum()函数的作用是？","求和","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"423","Python中abs()函数的作用是？","绝对值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"424","Python中round()函数的作用是？","四舍五入","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"425","Python中sorted()函数的作用是？","排序","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"426","Python中reversed()函数的作用是？","反转","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"427","Python中enumerate()函数的作用是？","枚举","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"428","Python中zip()函数的作用是？","打包","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"429","Python中列表推导式的作用是？","简洁创建列表","错误选项1","错误选项2","错误选项3","","A","中等","单选题","列表"
"430","Python中字典推导式的作用是？","简洁创建字典","错误选项1","错误选项2","错误选项3","","A","中等","单选题","字典"
"431","Python中集合推导式的作用是？","简洁创建集合","错误选项1","错误选项2","错误选项3","","A","中等","单选题","集合"
"432","Python中生成器表达式的作用是？","惰性求值","错误选项1","错误选项2","错误选项3","","A","中等","单选题","迭代与生成器"
"433","Python中切片操作的作用是？","获取序列子集","错误选项1","错误选项2","错误选项3","","A","中等","单选题","序列操作"
"434","Python中解包操作的作用是？","解包序列","错误选项1","错误选项2","错误选项3","","A","中等","单选题","模块与包"
"435","Python中链式比较的作用是？","连续比较","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"436","Python中三元表达式的作用是？","条件表达式","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
"437","Python中运算符有哪些？","+","-","*","/","","ABCD","简单","多选题","语法基础"
"438","Python中比较运算符有哪些？","==","!=",">","<","","ABCD","简单","多选题","语法基础"
"439","Python中逻辑运算符有哪些？","and","or","not","","","ABC","简单","多选题","语法基础"
"440","Python中身份运算符有哪些？","is","is not","","","","AB","简单","多选题","语法基础"
"441","Python中成员运算符有哪些？","in","not in","","","","AB","简单","多选题","语法基础"
"442","Python中位运算符有哪些？","&","|","^","~","","ABCD","简单","多选题","语法基础"
"443","Python中len()函数的作用是？","获取长度","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"444","Python中type()函数的作用是？","获取类型","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"445","Python中isinstance()函数的作用是？","类型检查","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"446","Python中str()函数的作用是？","转换为字符串","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"447","Python中int()函数的作用是？","转换为整数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"448","Python中float()函数的作用是？","转换为浮点数","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"449","Python中bool()函数的作用是？","转换为布尔值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"450","Python中list()函数的作用是？","转换为列表","错误选项1","错误选项2","错误选项3","","A","简单","单选题","列表"
"451","Python中tuple()函数的作用是？","转换为元组","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"452","Python中dict()函数的作用是？","转换为字典","错误选项1","错误选项2","错误选项3","","A","简单","单选题","字典"
"453","Python中set()函数的作用是？","转换为集合","错误选项1","错误选项2","错误选项3","","A","简单","单选题","集合"
"454","Python中max()函数的作用是？","获取最大值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"455","Python中min()函数的作用是？","获取最小值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"456","Python中sum()函数的作用是？","求和","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"457","Python中abs()函数的作用是？","绝对值","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"458","Python中round()函数的作用是？","四舍五入","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"459","Python中sorted()函数的作用是？","排序","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"460","Python中reversed()函数的作用是？","反转","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"461","Python中enumerate()函数的作用是？","枚举","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"462","Python中zip()函数的作用是？","打包","错误选项1","错误选项2","错误选项3","","A","简单","单选题","函数"
"463","Python中列表推导式的作用是？","简洁创建列表","错误选项1","错误选项2","错误选项3","","A","中等","单选题","列表"
"464","Python中字典推导式的作用是？","简洁创建字典","错误选项1","错误选项2","错误选项3","","A","中等","单选题","字典"
"465","Python中集合推导式的作用是？","简洁创建集合","错误选项1","错误选项2","错误选项3","","A","中等","单选题","集合"
"466","Python中生成器表达式的作用是？","惰性求值","错误选项1","错误选项2","错误选项3","","A","中等","单选题","迭代与生成器"
"467","Python中切片操作的作用是？","获取序列子集","错误选项1","错误选项2","错误选项3","","A","中等","单选题","序列操作"
"468","Python中解包操作的作用是？","解包序列","错误选项1","错误选项2","错误选项3","","A","中等","单选题","模块与包"
"469","Python中链式比较的作用是？","连续比较","错误选项1","错误选项2","错误选项3","","A","中等","单选题","Python基础"
